Symbol,Time,Open,High,Low,Close,Volume,Ticker
SCR,2023-12-22,7230,7260,7100,7130,1315700,SCR
SCS,2023-12-22,66600,67000,65800,66000,29600,SCS
SCY,2023-12-22,10500,10500,10500,10500,1600,SCY
SD2,2023-12-22,4300,4400,4300,4400,900,SD2
SD3,2023-12-22,5100,5100,5100,5100,3700,SD3
SD4,2023-12-22,2800,2800,2800,2800,100,SD4
SD5,2023-12-22,7200,7400,7200,7300,7400,SD5
SD6,2023-12-22,3500,3600,3500,3600,11700,SD6
SD7,2023-12-22,3400,3400,3400,3400,10000,SD7
SD9,2023-12-22,8000,8200,8000,8200,6400,SD9
SDA,2023-12-22,6200,6500,6200,6400,57900,SDA
SDC,2023-12-22,8400,8400,8400,8400,100,SDC
SDD,2023-12-22,1900,2000,1900,1900,12900,SDD
SDP,2023-12-22,1000,1100,900,1100,25800,SDP
SDT,2023-12-22,3900,4000,3900,3900,10800,SDT
SDU,2023-12-22,19900,19900,16700,18900,2300,SDU
SDV,2023-12-22,30000,30200,30000,30200,21000,SDV
SDY,2023-12-22,1000,1100,1000,1000,7300,SDY
SEA,2023-12-22,27800,30500,27800,30500,96400,SEA
SEB,2023-12-22,45000,45000,44500,44500,1000,SEB
SED,2023-12-22,18600,18800,18600,18800,1300,SED
SFC,2023-12-22,23300,24300,23300,24300,5700,SFC
SFG,2023-12-22,8600,8600,7740,8380,7600,SFG
SFI,2023-12-22,31300,31450,31100,31400,8900,SFI
SGB,2023-12-22,12700,12800,12300,12600,39000,SGB
SGI,2023-12-22,15300,15300,15300,15300,100,SGI
SGN,2023-12-22,67200,67200,67000,67000,700,SGN
SGP,2023-12-22,16300,16300,16200,16300,22800,SGP
SGR,2023-12-22,20900,20900,20400,20700,17600,SGR
SGS,2023-12-22,16200,17100,16200,17100,1200,SGS
SGT,2023-12-22,11850,11900,11750,11800,10000,SGT
SHA,2023-12-22,4630,4640,4620,4640,6900,SHA
SHB,2023-12-22,10700,10800,10650,10700,10060700,SHB
SHC,2023-12-22,10100,10100,10100,10100,1000,SHC
SHE,2023-12-22,8900,8900,8600,8800,1800,SHE
SHG,2023-12-22,3100,3100,3100,3100,7800,SHG
SHI,2023-12-22,13700,13700,13550,13600,109000,SHI
SHN,2023-12-22,7000,7000,6700,6900,1500,SHN
SHP,2023-12-22,29750,29950,29750,29900,16000,SHP
SHS,2023-12-22,18500,19100,18300,18500,31968200,SHS
SID,2023-12-22,14000,14000,14000,14000,1000,SID
SIP,2023-12-22,58000,58000,57200,57900,34800,SIP
SJC,2023-12-22,14500,14700,13700,13700,3200,SJC
SJD,2023-12-22,15000,15000,14850,14950,87000,SJD
SJE,2023-12-22,21500,21500,21500,21500,4000,SJE
SJM,2023-12-22,5400,5500,5400,5500,2100,SJM
SJS,2023-12-22,70900,70900,68200,69000,238600,SJS
SKG,2023-12-22,14650,14750,14450,14700,195200,SKG
SKH,2023-12-22,27900,27900,27800,27900,1300,SKH
SKV,2023-12-22,49000,49700,48500,48500,1400,SKV
SLS,2023-12-22,141300,141500,140700,141000,4100,SLS
SMA,2023-12-22,8280,8280,8280,8280,100,SMA
SMB,2023-12-22,36950,36950,36750,36750,2200,SMB
SMC,2023-12-22,10200,10200,10050,10100,140500,SMC
SMN,2023-12-22,12700,12800,12700,12800,5400,SMN
SMT,2023-12-22,5700,5700,5600,5600,1100,SMT
SNC,2023-12-22,21300,21300,21300,21300,100,SNC
SPD,2023-12-22,9800,9800,9800,9800,1900,SPD
SPI,2023-12-22,3200,3200,3100,3100,13000,SPI
SPM,2023-12-22,11700,11700,11700,11700,300,SPM
SRA,2023-12-22,3600,3700,3500,3600,456300,SRA
SRB,2023-12-22,2000,2100,2000,2100,1100,SRB
